"","fpool2_eGFPorf_unt_24h1","fpool2_eGFPorf_unt_24h2","fpool2_eGFPorf_unt_24h3","fpool_eGFPorf_unt_24h1","fpool_eGFPorf_unt_24h2","fpool_eGFPorf_unt_24h3","fpool2_TNFAIP3orf_unt_24h1","fpool2_TNFAIP3orf_unt_24h2","fpool2_TNFAIP3orf_unt_24h3","fpool_TNFAIP3orf_unt_24h1","fpool_TNFAIP3orf_unt_24h2","fpool_TNFAIP3orf_unt_24h3"
"CALU",182.75526816282,189.029838803326,182.124414553741,160.591573556238,164.010512470439,154.070229702759,175.555769043967,176.416704202458,181.160331303906,127.511700708943,136.696750589831,145.427930285954
"CAMK1",3.15409737833104,3.18712125056633,3.82599078761841,2.83197984600841,2.71589314230354,3.41322157782331,3.84071889316554,3.60605928070766,4.14238562432712,3.63075734831899,4.13132919895751,3.77246349348679
"CAMK1D",38.7503392194956,41.9358059285043,41.0523371714128,28.3479773640244,27.3194768304622,31.6263062654008,41.392474980434,36.8037334020873,38.0573460215958,34.2559468993795,29.6171640546886,28.1376336921607
"CAMK1G",3.26137960208379,3.35486447428034,3.11881713493065,2.57836971054497,2.71589314230354,1.9010348028383,2.89799698302491,2.65581392971037,3.30075806890828,1.64130126704831,1.36780493749269,1.82711907091953
"CAMK2D",29.6849913123877,28.7344142222111,27.271517272882,30.4473057075829,31.4535210717025,30.0709141539877,26.3438400444854,26.9479835436667,26.9189313428496,33.8953579846492,29.2403198372162,29.104932023824
"CAMK2G",22.7652878803349,23.6517945436764,22.4844956239186,23.0926117791432,21.941205681664,22.8844265281065,23.7600836981741,24.6089180642888,23.670774996155,24.7811623123279,23.3922558697729,22.5702944054765
"CAMK2N1",72.4905985897374,72.5153956115696,71.2250796860907,43.0855441248443,43.3873963570954,41.7363549895863,75.1384278008385,73.1810746594964,76.9300187375037,47.7345118499883,43.2393846566566,46.8494825302248
"CAMK4",1.48049468778804,1.56001198054036,1.26928604328573,1.5780186206614,1.81951461750385,1.39697254450996,1.69340787562299,1.23044590321444,1.4202464997693,1.98945608127068,1.91213547384182,1.93459666332656
"CAMKK1",3.79779072084757,4.21035491522183,4.33370520493271,3.53645244451796,3.09049909296609,3.29800734734826,4.9929345611152,5.18980153236981,4.64210198535706,3.68049375035076,3.89405691388225,3.79395901196819
"CAMKK2",43.8140601806257,43.5461408761589,43.9716950709699,42.1979086507223,41.4474726840215,42.7732830638618,43.6619906900319,44.3691483119504,44.9087203399274,44.9368392357014,46.2401812031967,44.5494620527143
