"","fpool2_eGFPorf_TNF_24h1","fpool2_eGFPorf_TNF_24h2","fpool2_eGFPorf_TNF_24h3","fpool_eGFPorf_TNF_24h1","fpool_eGFPorf_TNF_24h2","fpool_eGFPorf_TNF_24h3","fpool2_TNFAIP3orf_TNF_24h1","fpool2_TNFAIP3orf_TNF_24h2","fpool2_TNFAIP3orf_TNF_24h3","fpool_TNFAIP3orf_TNF_24h1","fpool_TNFAIP3orf_TNF_24h2","fpool_TNFAIP3orf_TNF_24h3"
"C3orf18",1.27670495441974,1.41721159297133,1.38401948576622,1.40612564909361,1.64729701933411,1.70749862510991,1.51314468544119,1.30358068665708,1.12284570699951,1.85931074101666,1.80741077412661,2.04523902924488
"C3orf33",3.14920555423537,3.72889279789998,3.66508863823278,3.01731128868003,2.67166659438222,2.79917807395068,3.31450740620451,3.47621516441889,3.35126257166009,2.54018509688192,2.47993571333651,2.77475103967617
"C3orf38",14.2139818258731,13.4170441793597,13.8658248481394,18.1185148742582,17.4696541041987,17.4948629621917,15.6214175144595,14.0336093674689,14.5969941909937,15.84342251148,15.5661501554625,15.0071042145866
"C3orf52",8.17091170828635,7.79466376134233,7.91966705744006,7.63116107476843,7.80735730171798,7.4458136767088,7.86835236429418,7.85367129739083,8.18813638642723,7.63364902825855,7.69200399221323,8.14187511642068
"C3orf58",18.4526422745467,16.4140982038401,18.4792231340268,17.4740406184237,17.0405263092462,16.8230602244436,18.3018452429553,18.1213809034059,16.6353910129313,15.7386726105777,13.4364878479645,12.9358111849692
"C3orf62",4.9536152231486,5.01832301773455,4.93377316685182,5.62450259637443,6.16006028238386,6.06022053010322,5.36085545699164,5.40744581131828,4.37046098262888,5.93146313859541,5.68844011081707,5.04144907208769
"C3orf67",3.93225125961281,4.20516882504608,4.25457841920728,4.49667264866393,4.526606095145,4.42270135684207,4.02064159274373,4.31308177807529,4.11134274255207,7.5288991273562,7.72002586468031,7.79014611139131
"C4orf19",2.11081885797397,2.28844822799469,2.35795912389801,2.73901558729692,2.36712428828683,2.63122738951364,1.61402099780393,2.22091524393429,2.22841686466058,1.67599841443756,1.68131234802475,1.86286102663705
"C4orf26",1.68525053983406,2.32329769339563,2.30669914294371,1.37683136473749,1.53655436257215,1.58153561178213,1.58519919427172,1.77029475965777,2.00384772326067,1.3879361869561,1.2049405160844,1.3548080193724
"C4orf27",8.73266188823104,7.87597918061117,8.88079170033327,9.8575266858333,9.93915344438565,8.87339449442365,8.31509031904348,8.89975456446133,9.44917848813438,10.26549028843,9.44337102140568,9.44457513504799
"C4orf3",28.7003273753558,26.6366080547809,25.9247353676395,35.0506112320937,33.9426242975399,32.1905478504328,28.1156693456739,27.8258149040753,27.8292989842495,43.0914904837031,38.5300746422339,38.5729475515546
"C4orf32",10.9796626080098,9.02601153884201,10.1622912241909,9.5059952735599,8.79019838048035,8.94337394627242,11.4278451005225,10.2516160172909,10.1228859123341,9.76792825914388,8.72881327349516,8.67598212405788
"C4orf33",3.50668294147289,3.69404333249905,3.20374880964404,4.52596693302004,3.95904997923997,4.03081642648898,4.03505249450984,3.73371258400548,4.00769544652135,4.39949583789858,3.99311682655878,4.15561305942112
