"","fpool2_eGFPorf_unt_1h1","fpool2_eGFPorf_unt_1h2","fpool2_eGFPorf_unt_1h3","fpool_eGFPorf_unt_1h1","fpool_eGFPorf_unt_1h2","fpool_eGFPorf_unt_1h3","fpool_eGFPorf_IL17_1h1","fpool_eGFPorf_IL17_1h2","fpool_eGFPorf_IL17_1h3","fpool2_eGFPorf_IL17_1h1","fpool2_eGFPorf_IL17_1h2","fpool2_eGFPorf_IL17_1h3"
"LYRM2",24.3142677859301,23.9572539631888,24.0562814562579,27.5383830042947,25.5251860529732,27.815939184038,24.9799740124944,27.3580029492348,28.0527770375856,22.6268231108558,22.8345410627584,22.5846410833473
"LYRM4",18.1056555838638,17.8790531343656,18.0398424154057,18.6275517144435,17.970050212385,18.2926504477055,17.943213910738,18.3491829224914,18.880925492219,17.4883445721324,17.9434214960721,17.3975837161306
"LYRM4-AS1",3.18820626592597,3.89411195161373,4.0551746606059,3.5804502986353,3.63125366986018,3.3331510577164,3.4607016893884,3.86418930081127,3.52613248975223,3.44511629300773,3.68930161601483,3.64060548133843
"LYRM5",2.34920461699808,2.06557242650815,2.30235383768045,2.4982563176973,2.00849561959299,2.57922403275674,2.63223067889845,2.5380178247932,2.8326272078342,2.30647616226788,2.1241433546752,2.07804472164893
"LYRM7",26.2439715784643,26.6154086432034,26.3586352939383,24.8328980519497,27.2277518762043,26.7445692012006,26.8047076305356,26.8664049020902,26.8025139941277,24.5829484636653,26.8033352254411,24.2116373382817
"LYSMD1",4.76552936591039,4.06342116690128,4.55733413960616,4.89289831807075,4.89487674178954,4.94681942692831,4.6037819443682,4.904547958722,5.03035521391245,4.14581791192455,3.9967434173494,4.33328705522141
"LYSMD2",4.0104278818753,2.97984218906094,4.04569995345495,3.55742489478556,3.63125366986018,3.80931549453303,3.39777984049043,3.78416171174122,3.59450624994133,3.94144660640714,4.29021059135058,3.44729899560365
"LYSMD3",19.4144981561913,16.3214083537201,17.2913405504808,17.8792260893268,16.0812662522379,17.565177002569,17.6181176914318,18.9322410714304,19.3790771735967,17.8094994808027,19.5365290120785,16.7210110160588
"LYSMD4",6.9469336531229,6.39988833786952,6.603870884211,6.88459575107366,7.44872547663626,7.36732198074617,7.16260379955235,6.57369481646888,6.43690113780254,6.42309817340424,7.04321217602831,6.3468962816254
"LYST",63.0090238344843,64.1681925939827,64.4564327479017,60.7295026537016,55.5861138693981,58.8063079468536,61.9570472148686,63.5876357725216,62.1224449718121,59.4428540047774,63.6684021309226,60.6015832778548
"LYZ",19.5151783540626,18.7086682892747,20.6264374676146,13.976420136795,17.3448893241673,16.5996213390241,14.6922517176762,13.5132300401152,12.7761254753349,19.5320576273065,17.8036752227382,19.0890154663099
"LZIC",30.1201591965111,29.1381159509879,29.0210280033548,32.46581942814,31.2979482973663,32.1146459052993,30.9890105822506,32.8227440314472,32.7412634505525,28.5535909708607,28.9414532074497,27.7878073243752
"LZTFL1",10.4036204467058,9.54903974221801,10.2516331373261,8.11645485703501,8.69904725307164,7.73767209827021,8.16935338191988,8.1856791105943,8.47834626344857,10.4229365813878,10.6067421460426,9.50423554862688
"LZTR1",49.2997368910026,48.4732283368265,49.0789830419125,39.9145375735324,40.8748810530415,41.5982542718971,43.6782501100081,40.7340428366585,40.1256295509755,50.3191350084645,49.6937747975331,52.144424526958
"LZTS1",3.2553263978402,3.3353915411648,2.8992603881902,2.22195147150036,2.18141246101491,2.0104720665591,2.35956933367391,2.50372028662032,2.18796032605124,2.91959007882011,2.62722993867723,2.94792390745545
"LZTS2",35.321969419864,36.7739615604566,37.1503267388685,32.6730480627877,34.9025993762385,33.4770052661913,33.3171189914756,32.2168208570597,32.409162329634,35.721184614364,33.6928265008021,35.3589780156542
"LZTS3",7.56779487332953,7.11098704207724,7.33342333483403,6.40106227022903,6.55753867853871,6.93083791366426,7.14162984991969,7.17961799085645,6.93505281918028,8.1894501710904,7.74194354269778,8.08665465323846
"M1AP",0.704761385099424,0.897338841024033,1.07064190805716,1.31244801943545,1.60945675477319,1.28299862142258,1.2898979024084,1.40619906508813,1.53352576424127,0.700701618916826,0.922325404003707,0.660463826260512
"M6PR",75.3591281067027,75.6304264689501,73.5900504414159,69.5136942223792,68.8475054769095,67.7079375573422,68.7840678202985,70.5500360216165,73.7459842039593,76.5662498170573,77.461359308978,75.5022915532443
"MAB21L2",3.70838728826126,3.92797379467124,3.71408520317176,3.73011542365864,4.01699123918598,3.49187253665527,3.96407648057216,3.82989176263839,3.30147584913089,3.37212654103722,3.4657075786806,3.68893210277213
"MAB21L3",28.8616567231193,24.3805270014077,24.6721374210695,25.3509696385689,24.1152487306099,24.9324989833151,25.4204269547802,27.3351379237863,23.9112807061314,24.977093124306,25.5036948834358,23.1967782881741
