"","fpool_eGFPorf_IL17_1h1","fpool_eGFPorf_IL17_1h2","fpool_eGFPorf_IL17_1h3","fpool2_eGFPorf_IL17_1h1","fpool2_eGFPorf_IL17_1h2","fpool2_eGFPorf_IL17_1h3","fpool_TNFAIP3orf_IL17_1h1","fpool_TNFAIP3orf_IL17_1h2","fpool_TNFAIP3orf_IL17_1h3","fpool2_TNFAIP3orf_IL17_1h1","fpool2_TNFAIP3orf_IL17_1h2","fpool2_TNFAIP3orf_IL17_1h3"
"DYNLL2",45.8280799473554,47.2620076022302,45.1169140447799,46.17331709654,45.5433104795164,43.6711569022499,42.910768217443,44.9884841769214,42.8068227515736,45.4563247969093,45.3952956255143,46.5317386643882
"DYNLRB1",42.2100736357221,38.7104880844585,39.6958516297868,38.2320320821493,37.6476460361513,38.6612971469568,41.0630150300714,43.0455600192974,39.9890475840928,43.0889349954058,38.871636627326,38.8954621031168
"DYNLT1",24.1095551027392,26.157589113184,24.8196749486438,24.9332992731237,25.3080501007684,23.4384113953425,27.1223771432051,29.4752137710864,28.9953444695174,26.6026276663791,26.1667206225672,25.5756972615099
"DYNLT3",11.0322975067776,13.1702546583864,12.0044787532008,9.41567800419485,10.3971227360418,7.86113041988121,13.1817392563387,10.6032450152503,12.1032933359667,7.87096093798832,9.20881145876847,8.2046253893049
"DYRK1A",79.208120787729,80.2105092736447,80.4466127024912,61.7347322166512,61.3346393662465,58.3141231966598,78.8759641859266,73.5148280105635,75.2331369846039,62.1012716487172,62.9839453001875,61.0319203026801
"DYRK1B",6.19780211645013,6.74518250733329,6.05596161674898,7.13839774271516,6.62397335602662,6.78183587452867,5.13081465421945,4.97027110089858,4.80335766891804,6.98013900237104,6.01906658948859,6.65988242080345
"DYRK2",49.739721553846,50.291623474168,50.2547137389895,49.4432579848185,51.3148315682062,47.4889599955119,51.8360760243007,50.4256595327528,52.3989382180755,49.7151858315727,49.7203734143683,48.7759878827771
"DYRK3",19.7050256798812,20.47563028921,19.1739558930294,25.5902070408582,25.7272889207701,23.9700042311132,21.8265845258274,23.1494141881246,21.8706072584779,27.8961499290563,28.9780211853223,28.0968343704793
"DYRK4",8.80905884571592,9.05455007764062,8.38066946317842,7.69311985769098,7.16898382202881,8.29607001278448,7.75396426843454,7.2746695204061,8.29272691776732,6.60184475573904,6.92012446216652,6.93677031138389
"DYSF",21.3829416504938,20.9214982854575,20.1604915757579,9.09452309552463,8.92978686603589,8.68268298425404,24.0537870284629,23.4054584569588,22.1334049424916,8.1760369433367,8.5420286329868,8.6272437486119
"DYX1C1",1.436715549837,1.92066213768134,1.68004096464649,2.01451715438587,2.05427021800826,1.67532287636813,1.86425098368745,2.01823129551639,1.6935850747553,1.39114658438863,2.01836963479857,2.24424921838891
"DZANK1",2.37005630849024,2.60661290113897,2.79355648772614,2.52544541817939,2.5294075473435,2.85127066458806,2.96960333684727,2.18390699887968,2.62797684013753,2.44060804278708,2.7031736180338,2.46284492147874
"DZIP1",10.02554792441,9.55758063750954,9.53325570636613,7.62013010572048,6.7916688840273,7.41008195316672,8.46336951001472,8.29884659574278,9.47531649582921,6.47981435359969,5.96500311712792,6.36842148335034
"DZIP1L",3.61800631163332,3.29256366459659,3.46752640959014,3.86845685443664,3.87097177134889,3.54395223847104,4.10795128263872,3.99127830829734,3.9127655175381,3.5510847022552,3.62225264816529,3.41009296820133
"DZIP3",8.03302270930761,8.0027589070056,8.9081241846372,6.48148997498064,6.63794798336001,7.03957785550838,7.77046206475035,8.20847803027189,8.14672820442635,7.41944845007271,7.40669571341261,7.89859140497914
"E2F1",15.5102357533498,14.5421561853016,14.6515200405217,20.6269039068641,20.6544991987497,23.5672823858324,16.4977963158182,17.1248431567324,16.7606522915438,20.6597470821926,20.6522464417782,21.8887164027282
"E2F2",4.35209454877632,4.60730262789037,4.07312257126504,3.94144660640714,3.731225498015,4.52659354095619,4.91634330211381,6.17518530717702,6.42394338700285,4.29547015530525,4.03673926959714,4.44477929615985
